  Revised: Monday, February 17, 2025
          Revision: 







Design Name:  E:\ORCAD\WORKSPACE\CDSSETUP\WORKSPACE\PROJECTS\KTANE_PROJECT\KTANE_PROJECT.DSN

Export Placement         February 17,2025      15:38:17,Page1

Item,Reference,Part,SchematicName,Sheet,Library,X,Y
____________________________________________________________________________

1,R18,1K,/PAGE2,1,E:\ORCAD\INSTALLATION\TOOLS\CAPTURE\LIBRARY\PSPICE\ANALOG.OLB, 3.90, 2.20
2,R19,1K,/PAGE2,1,E:\ORCAD\INSTALLATION\TOOLS\CAPTURE\LIBRARY\PSPICE\ANALOG.OLB, 4.30, 2.20
3,R20,1K,/PAGE2,1,E:\ORCAD\INSTALLATION\TOOLS\CAPTURE\LIBRARY\PSPICE\ANALOG.OLB, 4.70, 2.20
4,R23,1K,/PAGE2,1,E:\ORCAD\INSTALLATION\TOOLS\CAPTURE\LIBRARY\PSPICE\ANALOG.OLB, 4.70, 2.60
5,R26,1K,/PAGE2,1,E:\ORCAD\INSTALLATION\TOOLS\CAPTURE\LIBRARY\PSPICE\ANALOG.OLB, 3.70, 2.40
